2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-17 10:15:17 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:19 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:20 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:22 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:24 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:25 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:15:25 MinePhase: Found new vein at [1307, 713]
2026-07-17 10:15:25 MinePhase: Initial click to walk to vein at [1307, 713] (vein at [1307, 713])
2026-07-17 10:15:27 MinePhase: Clicked stable vein at [1263, 713] (vein at [1263, 713])
2026-07-17 10:15:29 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:31 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:32 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:34 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:36 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:37 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:39 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:41 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:43 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:44 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:46 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:15:48 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
