2026-07-21 19:01:08 [crafting] Esc pressed - exiting
2026-07-21 19:01:13 [crafting] Crafting started
2026-07-21 19:01:13 [crafting] Craft: waiting for start-craft marker
2026-07-21 19:01:13 [crafting] FindFilledBlock: found at 16,683 (33x33 0xFF0000 tol=5, 15 ms)
2026-07-21 19:01:13 [crafting] Craft: clicking start-craft marker at 16,683
2026-07-21 19:02:01 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:02:01 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:02:01 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:02:02 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:02:02 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:02:02 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:02:02 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:02:02 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:02:03 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:02:03 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:02:03 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:02:03 [crafting] FindImage: found at 1363,999 (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 0 ms)
2026-07-21 19:02:03 [crafting] Craft: clicking deposit-inventory button at 1363,999
2026-07-21 19:02:04 [crafting] Craft: waiting for start-craft marker
2026-07-21 19:02:04 [crafting] FindFilledBlock: found at 16,693 (33x33 0xFF0000 tol=5, 16 ms)
2026-07-21 19:02:04 [crafting] Craft: clicking start-craft marker at 16,693
2026-07-21 19:02:04 [crafting] Craft: waiting for craft dialog marker
2026-07-21 19:02:04 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:04 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:04 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:05 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:05 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:05 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:05 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:05 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:06 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:02:06 [crafting] Esc pressed - exiting
2026-07-21 20:17:46 [crafting] Crafting started
2026-07-21 20:17:46 [crafting] Craft: waiting for start-craft marker
2026-07-21 20:17:46 [crafting] FindFilledBlock: found at 16,705 (33x33 0xFF0000 tol=5, 0 ms)
2026-07-21 20:17:46 [crafting] Craft: clicking start-craft marker at 16,705
2026-07-21 20:17:46 [crafting] Craft: waiting for craft dialog marker
2026-07-21 20:17:46 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 20:17:46 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:46 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:47 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:47 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:47 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:47 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:47 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:47 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 20:17:48 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 20:17:48 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 20:17:48 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
